Sampleid	SampleCode	Weight	TL	SL	Gut_length	Type	Site	Sex	Notes	Variable
1	FPh1	57.6	14	11	25	fecal	Ph	male	NA	Exp
2	FPh2	41.9	12	9.8	30	fecal	Ph	female	NA	Exp
3	FPh3	44.1	13	10.5	27	fecal	Ph	male	NA	Exp
4	FPh4	35.4	13	10	27	fecal	Ph	female	NA	Exp
5	FPh5	38.1	12	9	29	fecal	Ph	male	NA	Exp
6	FPh6	40.9	12	9.5	28	fecal	Ph	female	NA	Exp
7	FPh7	43.1	12.3	9.8	27.5	fecal	Ph	female	NA	Exp
8	FPh8	25.2	11	9	24.5	fecal	Ph	female	NA	Exp
9	FPh9	44.4	12.5	10	27	fecal	Ph	male	NA	Exp
10	FPh10	18.7	9.5	7.5	24	fecal	Ph	female	NA	Exp
11	FSS1	3.9	11.5	9.5	22	fecal	SS	male	empty	Exp
12	FSS2	48.9	13	11.5	28	fecal	SS	male	emptyish	Exp
13	FSS3	39.3	12	9	22	fecal	SS	male	empty_L	Exp
14	FSS4	30.3	11.5	9.5	22	fecal	SS	male	NA	Exp
15	FSS5	34.8	12.5	10	23	fecal	SS	male	NA	Exp
16	FSS6	22.9	11	9	19	fecal	SS	male	NA	Exp
17	FSS7	28.6	11	9	24	fecal	SS	female	NA	Exp
18	FSS8	25.7	11	8.5	24	fecal	SS	male	NA	Exp
19	FSS9	24.2	11	8.8	21	fecal	SS	male	NA	Exp
20	FSS10	20.4	10	8	NA	fecal	SS	NA	NA	Exp
21	SPh1	57.6	14	11	25	stomach	Ph	male	NA	Exp
22	SPh2	41.9	12	9.8	30	stomach	Ph	female	NA	Exp
23	SPh3	44.1	13	10.5	27	stomach	Ph	male	NA	Exp
24	SPh4	35.4	13	10	27	stomach	Ph	female	NA	Exp
25	SPh5	38.1	12	9	29	stomach	Ph	male	NA	Exp
26	SPh6	40.9	12	9.5	28	stomach	Ph	female	NA	Exp
27	SPh7	43.1	12.3	9.8	27.5	stomach	Ph	female	NA	Exp
28	SPh8	25.2	11	9	24.5	stomach	Ph	female	NA	Exp
29	SPh9	44.4	12.5	10	27	stomach	Ph	male	NA	Exp
30	SPh10	18.7	9.5	7.5	24	stomach	Ph	female	NA	Exp
31	SSs1	3.9	11.5	9.5	22	stomach	SS	male	empty	Exp
32	SSs2	48.9	13	11.5	28	stomach	SS	male	emptyish	Exp
33	SSs3	39.3	12	9	22	stomach	SS	male	empty_L	Exp
34	SSs4	30.3	11.5	9.5	22	stomach	SS	male	NA	Exp
35	SSs5	34.8	12.5	10	23	stomach	SS	male	NA	Exp
36	SSs6	22.9	11	9	19	stomach	SS	male	NA	Exp
37	SSs7	28.6	11	9	24	stomach	SS	female	NA	Exp
38	SSs8	25.7	11	8.5	24	stomach	SS	male	NA	Exp
39	SSs9	24.2	11	8.8	21	stomach	SS	male	NA	Exp
40	SSs10	20.4	10	8	NA	stomach	SS	NA	NA	Exp
41	AEPh1	NA	NA	NA	NA	algae	Ph	NA	NA	Exp
42	AEPh2	NA	NA	NA	NA	algae	Ph	NA	NA	Exp
43	AEPh3	NA	NA	NA	NA	algae	Ph	NA	NA	Exp
44	AEPh4	NA	NA	NA	NA	algae	Ph	NA	NA	Exp
45	AEPh5	NA	NA	NA	NA	algae	Ph	NA	NA	Exp
46	AEPh6	NA	NA	NA	NA	algae	Ph	NA	NA	Exp
47	AEPh7	NA	NA	NA	NA	algae	Ph	NA	NA	Exp
48	AEPh8	NA	NA	NA	NA	algae	Ph	NA	NA	Exp
49	AEPh9	NA	NA	NA	NA	algae	Ph	NA	NA	Exp
50	AEPh10	NA	NA	NA	NA	algae	Ph	NA	NA	Exp
51	AESs1	NA	NA	NA	NA	algae	SS	NA	NA	Exp
52	AESs2	NA	NA	NA	NA	algae	SS	NA	NA	Exp
53	AESs3	NA	NA	NA	NA	algae	SS	NA	NA	Exp
54	AESs4	NA	NA	NA	NA	algae	SS	NA	NA	Exp
55	AESs5	NA	NA	NA	NA	algae	SS	NA	NA	Exp
56	AESs6	NA	NA	NA	NA	algae	SS	NA	NA	Exp
57	AESs7	NA	NA	NA	NA	algae	SS	NA	NA	Exp
58	AESs8	NA	NA	NA	NA	algae	SS	NA	NA	Exp
59	AESs9	NA	NA	NA	NA	algae	SS	NA	NA	Exp
60	AESs10	NA	NA	NA	NA	algae	SS	NA	NA	Exp
61	CFPh1	41.3	12.5	10	29	fecal	Ph	male	NA	Control
62	CFPh2	27.9	12	9.5	25.5	fecal	Ph	male	NA	Control
63	CFPh3	19.3	10	8	22.5	fecal	Ph	male	NA	Control
64	CFPh4	40.5	13	10	22	fecal	Ph	female	NA	Control
65	CFPh5	39.4	13	10	27	fecal	Ph	female	NA	Control
66	CFPh6	28.3	12	9.5	26	fecal	Ph	male	NA	Control
67	CFPh7	26.3	11	9	26	fecal	Ph	NA	NA	Control
68	CFPh8	22.8	10.5	8.5	27	fecal	Ph	female	NA	Control
69	CFPh9	21.3	10	8	NA	fecal	Ph	male	NA	Control
70	CFPh10	18	9.3	7.3	21	fecal	Ph	male	NA	Control
71	CFSs1	38.5	12	10	NA	fecal	SS	NA	NA	Control
72	CFSs2	34.1	12	9.5	NA	fecal	SS	female	NA	Control
73	CFSs3	21.1	10	8	NA	fecal	SS	NA	NA	Control
74	CFSs4	36.7	11.5	9	NA	fecal	SS	NA	NA	Control
75	CFSs5	25	11	8.5	NA	fecal	SS	NA	NA	Control
76	CFSs6	30.1	11.5	9	NA	fecal	SS	NA	NA	Control
77	CFSs7	21.9	10	8	NA	fecal	SS	NA	NA	Control
78	CFSs8	50.7	13	11	31	fecal	SS	female	NA	Control
79	CFSs9	17.4	9.5	7.5	20	fecal	SS	male	NA	Control
80	CFSs10	18.7	10	8	19	fecal	SS	NA	NA	Control
81	CSPh1	57.6	14	11	25	stomach	Ph	NA	NA	Control
82	CSPh2	41.9	12	9.8	30	stomach	Ph	NA	NA	Control
83	CSPh3	44.1	13	10.5	27	stomach	Ph	NA	NA	Control
84	CSPh4	35.4	13	10	27	stomach	Ph	NA	NA	Control
85	CSPh5	38.1	12	9	29	stomach	Ph	NA	NA	Control
86	CSPh6	40.9	12	9.5	28	stomach	Ph	NA	NA	Control
87	CSPh7	43.1	12.3	9.8	27.5	stomach	Ph	NA	NA	Control
88	CSPh8	25.2	11	9	24.5	stomach	Ph	NA	NA	Control
89	CSPh9	44.4	12.5	10	27	stomach	Ph	NA	NA	Control
90	CSPh10	18.7	9.5	7.5	24	stomach	Ph	NA	NA	Control
91	CSSs1	38.5	12	10	NA	stomach	SS	NA	NA	Control
92	CSSs2	34.1	12	9.5	NA	stomach	SS	NA	NA	Control
93	CSSs3	21.1	10	8	NA	stomach	SS	NA	NA	Control
94	CSSs4	36.7	11.5	9	NA	stomach	SS	NA	NA	Control
95	CSSs5	25	11	8.5	NA	stomach	SS	NA	NA	Control
96	CSSs6	30.1	11.5	9	NA	stomach	SS	NA	NA	Control
97	CSSs7	21.9	10	8	NA	stomach	SS	NA	NA	Control
98	CSSs8	50.7	13	11	31	stomach	SS	NA	NA	Control
99	CSSs9	17.4	9.5	7.5	20	stomach	SS	NA	NA	Control
100	CSSs10	18.7	10	8	19	stomach	SS	NA	NA	Control
101	ACPh1	57.6	14	11	25	algae	Ph	NA	NA	Control
102	ACPh2	41.9	12	9.8	30	algae	Ph	NA	NA	Control
103	ACPh3	44.1	13	10.5	27	algae	Ph	NA	NA	Control
104	ACPh4	35.4	13	10	27	algae	Ph	NA	NA	Control
105	ACPh5	38.1	12	9	29	algae	Ph	NA	NA	Control
106	ACPh6	40.9	12	9.5	28	algae	Ph	NA	NA	Control
107	ACPh7	43.1	12.3	9.8	27.5	algae	Ph	NA	NA	Control
108	ACPh8	25.2	11	9	24.5	algae	Ph	NA	NA	Control
109	ACPh9	44.4	12.5	10	27	algae	Ph	NA	NA	Control
110	ACPh10	18.7	9.5	7.5	24	algae	Ph	NA	NA	Control
111	ACSs1	38.5	12	10	NA	algae	SS	NA	NA	Control
112	ACSs2	34.1	12	9.5	NA	algae	SS	NA	NA	Control
113	ACSs3	21.1	10	8	NA	algae	SS	NA	NA	Control
114	ACSs4	36.7	11.5	9	NA	algae	SS	NA	NA	Control
115	ACSs5	25	11	8.5	NA	algae	SS	NA	NA	Control
116	ACSs6	30.1	11.5	9	NA	algae	SS	NA	NA	Control
117	ACSs7	21.9	10	8	NA	algae	SS	NA	NA	Control
118	ACSs8	50.7	13	11	31	algae	SS	NA	NA	Control
119	ACSs9	17.4	9.5	7.5	20	algae	SS	NA	NA	Control
120	ACSs10	18.7	10	8	19	algae	SS	NA	NA	Control
a	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
b	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
